Resistors:  (1, 2, 4, 8)
 14.0000 Ohm using      8+4+2      , most stressed R=8 at   57%, possible overload 175.0%
 15.0000 Ohm using     8+4+2+1     , most stressed R=8 at   53%, possible overload 187.5%
74 records 
Resistors:  (10, 20, 40, 80)
  5.3333 Ohm using  (80|40|20|10)  , most stressed R=10 at   53%, possible overload 187.5%
  5.7143 Ohm using    (40|20|10)   , most stressed R=10 at   57%, possible overload 175.0%
  6.1538 Ohm using    (80|20|10)   , most stressed R=10 at   62%, possible overload 162.5%
  6.3158 Ohm using  (80+40)|20|10  , most stressed R=10 at   63%, possible overload 158.3%
  6.6667 Ohm using     (20|10)     , most stressed R=10 at   67%, possible overload 150.0%
  7.2727 Ohm using    (80|40|10)   , most stressed R=10 at   73%, possible overload 137.5%
  7.4074 Ohm using  (80+20)|40|10  , most stressed R=10 at   74%, possible overload 135.0%
  7.7419 Ohm using  80|(40+20)|10  , most stressed R=10 at   77%, possible overload 129.2%
  8.0000 Ohm using     (40|10)     , most stressed R=10 at   80%, possible overload 125.0%
  8.5714 Ohm using    (40+20)|10   , most stressed R=10 at   86%, possible overload 116.7%
  8.8889 Ohm using     (80|10)     , most stressed R=10 at   89%, possible overload 112.5%
  9.0909 Ohm using    (80+20)|10   , most stressed R=10 at   91%, possible overload 110.0%
  9.2308 Ohm using    (80+40)|10   , most stressed R=10 at   92%, possible overload 108.3%
  9.3333 Ohm using  (80+40+20)|10  , most stressed R=10 at   93%, possible overload 107.1%
 10.0000 Ohm using        10       , most stressed R=10 at  100%, possible overload 100.0%
 11.4286 Ohm using    (80|40|20)   , most stressed R=20 at   57%, possible overload 175.0%
 11.6129 Ohm using  (80+10)|40|20  , most stressed R=20 at   58%, possible overload 172.2%
 12.1212 Ohm using  80|(40+10)|20  , most stressed R=20 at   61%, possible overload 165.0%
 13.3333 Ohm using     (40|20)     , most stressed R=20 at   67%, possible overload 150.0%
 14.1176 Ohm using  80|40|(20+10)  , most stressed R=40 at   35%, possible overload 283.3%
 14.2857 Ohm using    (40+10)|20   , most stressed R=20 at   71%, possible overload 140.0%
 16.0000 Ohm using     (80|20)     , most stressed R=20 at   80%, possible overload 125.0%
 16.3636 Ohm using    (80+10)|20   , most stressed R=20 at   82%, possible overload 122.2%
 17.1429 Ohm using    (80+40)|20   , most stressed R=20 at   86%, possible overload 116.7%
 17.1429 Ohm using    40|(20+10)   , most stressed R=40 at   43%, possible overload 233.3%
 17.3333 Ohm using  (80+40+10)|20  , most stressed R=20 at   87%, possible overload 115.4%
 20.0000 Ohm using        20       , most stressed R=20 at  100%, possible overload 100.0%
 21.4286 Ohm using  (80|40|20)+10  , most stressed R=10 at   47%, possible overload 214.3%
 21.8182 Ohm using    80|(20+10)   , most stressed R=20 at   48%, possible overload 206.2%
 22.2222 Ohm using (80|10)+(40|20) , most stressed R=20 at   40%, possible overload 250.0%
 23.3333 Ohm using    (40|20)+10   , most stressed R=10 at   43%, possible overload 233.3%
 24.0000 Ohm using (80|20)+(40|10) , most stressed R=20 at   53%, possible overload 187.5%
 26.0000 Ohm using    (80|20)+10   , most stressed R=20 at   49%, possible overload 203.1%
 26.6667 Ohm using     (80|40)     , most stressed R=40 at   67%, possible overload 150.0%
 27.2727 Ohm using  (80|40|10)+20  , most stressed R=20 at   73%, possible overload 136.4%
 27.6923 Ohm using    (80+10)|40   , most stressed R=40 at   69%, possible overload 144.4%
 28.0000 Ohm using    (40|10)+20   , most stressed R=20 at   71%, possible overload 140.0%
 28.5714 Ohm using    (80+20)|40   , most stressed R=40 at   71%, possible overload 140.0%
 28.8889 Ohm using    (80|10)+20   , most stressed R=20 at   69%, possible overload 144.4%
 29.3333 Ohm using  (80+20+10)|40  , most stressed R=40 at   73%, possible overload 136.4%
 30.0000 Ohm using      20+10      , most stressed R=20 at   67%, possible overload 150.0%
 30.7692 Ohm using    80|(40+10)   , most stressed R=40 at   49%, possible overload 203.1%
 33.3333 Ohm using (80|40)+(20|10) , most stressed R=40 at   53%, possible overload 187.5%
 34.2857 Ohm using    80|(40+20)   , most stressed R=80 at   43%, possible overload 233.3%
 36.0000 Ohm using (80+10)|(40+20) , most stressed R=40 at   40%, possible overload 250.0%
 36.6667 Ohm using    (80|40)+10   , most stressed R=40 at   48%, possible overload 206.2%
 37.3333 Ohm using  80|(40+20+10)  , most stressed R=80 at   47%, possible overload 214.3%
 40.0000 Ohm using        40       , most stressed R=40 at  100%, possible overload 100.0%
 46.1538 Ohm using  (80|20|10)+40  , most stressed R=40 at   87%, possible overload 115.4%
 46.6667 Ohm using    40+(20|10)   , most stressed R=40 at   86%, possible overload 116.7%
 46.6667 Ohm using    (80|40)+20   , most stressed R=20 at   43%, possible overload 233.3%
 48.8889 Ohm using    (80|10)+40   , most stressed R=40 at   82%, possible overload 122.2%
 50.0000 Ohm using      40+10      , most stressed R=40 at   80%, possible overload 125.0%
 56.0000 Ohm using    (80|20)+40   , most stressed R=40 at   71%, possible overload 140.0%
 56.6667 Ohm using  (80|40)+20+10  , most stressed R=20 at   35%, possible overload 283.3%
 60.0000 Ohm using      40+20      , most stressed R=40 at   67%, possible overload 150.0%
 66.0000 Ohm using  (80|20)+40+10  , most stressed R=40 at   61%, possible overload 165.0%
 68.8889 Ohm using  (80|10)+40+20  , most stressed R=40 at   58%, possible overload 172.2%
 70.0000 Ohm using     40+20+10    , most stressed R=40 at   57%, possible overload 175.0%
 80.0000 Ohm using        80       , most stressed R=80 at  100%, possible overload 100.0%
 85.7143 Ohm using  80+(40|20|10)  , most stressed R=80 at   93%, possible overload 107.1%
 86.6667 Ohm using    80+(20|10)   , most stressed R=80 at   92%, possible overload 108.3%
 88.0000 Ohm using    80+(40|10)   , most stressed R=80 at   91%, possible overload 110.0%
 90.0000 Ohm using      80+10      , most stressed R=80 at   89%, possible overload 112.5%
 93.3333 Ohm using    80+(40|20)   , most stressed R=80 at   86%, possible overload 116.7%
